,date,close,open,high,low
0,2024-10-07,17923.9,18080.11,18096.33,17900.04
1,2024-10-04,18137.85,18130.42,18145.28,17952.3
2,2024-10-03,17918.48,17859.49,18011.25,17826.42
3,2024-10-02,17925.12,17867.12,17978.57,17767.79
4,2024-10-01,17910.36,18154.94,18162.72,17779.77
5,2024-09-30,18189.17,18069.83,18198.16,17997.56
6,2024-09-27,18119.59,18228.78,18238.28,18069.18
7,2024-09-26,18190.29,18327.34,18327.34,18071.74
8,2024-09-25,18082.21,18050.36,18155.03,18040.62
9,2024-09-24,18074.52,18046.44,18091.96,17863.38
10,2024-09-23,17974.27,17994.91,18021.58,17936.37
11,2024-09-20,17948.32,17999.35,18024.34,17835.64
12,2024-09-19,18013.98,17980.89,18099.93,17909.75
13,2024-09-18,17573.3,17663.38,17832.7,17556.42
14,2024-09-17,17628.06,17707.02,17781.74,17544.64
15,2024-09-16,17592.13,17573.7,17618.4,17480.66
16,2024-09-13,17683.98,17575.26,17719.14,17564.61
17,2024-09-12,17569.68,17413.89,17605.72,17338.32
18,2024-09-11,17395.53,17061.41,17420.23,16787.84
19,2024-09-10,17025.88,17025.49,17036.07,16801.13
20,2024-09-09,16884.6,16835.67,16923.28,16732.83
21,2024-09-06,16690.83,17137.62,17166.54,16668.57
22,2024-09-05,17127.66,17063.24,17295.58,17035.07
23,2024-09-04,17084.3,17015.71,17232.65,16984.67
24,2024-09-03,17136.3,17585.45,17585.45,17057.79
25,2024-08-30,17713.62,17650.49,17720.37,17498.79
26,2024-08-29,17516.43,17610.57,17789.21,17482.6
27,2024-08-28,17556.03,17738.8,17759.94,17439.4
28,2024-08-27,17754.82,17655.52,17789.72,17573.37
29,2024-08-26,17725.76,17867.85,17909.09,17645.69
30,2024-08-23,17877.79,17772.73,17941.27,17700.27
31,2024-08-22,17619.35,17993.72,18017.69,17589.15
32,2024-08-21,17918.99,17840.51,17963.07,17790.98
33,2024-08-20,17816.94,17849.09,17932.53,17758.2
34,2024-08-19,17876.77,17649.74,17877.44,17585.58
35,2024-08-16,17631.72,17516.4,17674.65,17502.82
36,2024-08-15,17594.5,17394.55,17602.72,17375.41
37,2024-08-14,17192.6,17227.64,17260.73,17032.17
38,2024-08-13,17187.61,16944.74,17192.79,16943.95
39,2024-08-12,16780.61,16793.64,16895.79,16699.39
40,2024-08-09,16745.3,16636.52,16789.22,16574.57
41,2024-08-08,16660.02,16408.27,16694.25,16262.93
42,2024-08-07,16195.81,16622.31,16709.81,16179.53
43,2024-08-06,16366.85,16261.36,16620.31,16137.65
44,2024-08-05,16200.08,15712.53,16453.46,15708.54
45,2024-08-02,16776.16,16780.45,16920.63,16582.79
46,2024-08-01,17194.15,17647.03,17791.58,17051.42
47,2024-07-31,17599.4,17499.23,17693.98,17438.6
48,2024-07-30,17147.42,17424.1,17468.56,17015.38
49,2024-07-29,17370.2,17444.39,17535.32,17299.83
50,2024-07-26,17357.88,17331.95,17454.57,17239.99
51,2024-07-25,17181.72,17352.64,17544.46,17033.96
52,2024-07-24,17342.41,17733.91,17747.06,17313.52
53,2024-07-23,17997.35,17982.74,18128.38,17968.1
54,2024-07-22,18007.57,17923.65,18040.99,17839.76
55,2024-07-19,17726.94,17835.59,17935.14,17691.43
56,2024-07-18,17871.22,18119.15,18130.87,17759.54
57,2024-07-17,17996.92,18188.19,18223.24,17972.87
58,2024-07-16,18509.34,18534.27,18576.83,18386.07
59,2024-07-15,18472.57,18485.91,18641.53,18397.83
60,2024-07-12,18398.45,18303.64,18556.73,18293.6
61,2024-07-11,18283.41,18659.25,18671.07,18238.78
62,2024-07-10,18647.45,18512.09,18655.19,18467.58
63,2024-07-09,18429.29,18465.02,18511.89,18381.6
64,2024-07-08,18403.74,18371.86,18416.94,18342.6
65,2024-07-05,18352.76,18200.6,18366.31,18197.14
66,2024-07-03,18188.3,18016.12,18188.3,18016.12
67,2024-07-02,18028.76,17808.04,18031.29,17802.24
68,2024-07-01,17879.3,17773.9,17894.28,17657.64
69,2024-06-28,17732.6,17891.1,18035.0,17723.83
70,2024-06-27,17858.68,17793.95,17892.78,17765.42
71,2024-06-26,17805.16,17697.26,17813.55,17687.07
72,2024-06-25,17717.65,17572.16,17734.34,17546.63
73,2024-06-24,17496.82,17640.26,17730.12,17494.02
74,2024-06-21,17689.36,17681.01,17787.34,17620.57
75,2024-06-20,17721.59,17913.94,17936.79,17650.69
76,2024-06-18,17862.23,17856.76,17890.52,17796.88
77,2024-06-17,17857.02,17697.3,17935.99,17636.36
78,2024-06-14,17688.88,17621.18,17693.43,17590.8
79,2024-06-13,17667.56,17715.26,17741.8,17566.32
80,2024-06-12,17608.44,17502.15,17725.39,17490.64
81,2024-06-11,17343.55,17160.42,17345.05,17107.99
82,2024-06-10,17192.53,17083.45,17213.45,17057.34
83,2024-06-07,17133.13,17124.14,17229.31,17090.04
84,2024-06-06,17173.12,17204.87,17235.73,17123.59
85,2024-06-05,17187.9,16974.48,17187.92,16955.56
86,2024-06-04,16857.05,16823.88,16891.87,16750.39
87,2024-06-03,16828.67,16865.7,16909.89,16646.43
88,2024-05-31,16735.02,16771.9,16789.27,16445.54
89,2024-05-30,16737.08,16878.63,16900.46,16690.36
90,2024-05-29,16920.58,16879.35,16989.6,16873.97
91,2024-05-28,17019.88,16988.31,17032.66,16917.51
92,2024-05-24,16920.79,16786.79,16947.8,16771.58
93,2024-05-23,16736.03,16996.39,16996.39,16678.37
94,2024-05-22,16801.54,16839.02,16855.27,16712.09
95,2024-05-21,16832.62,16736.1,16839.02,16719.97
96,2024-05-20,16794.87,16702.02,16823.83,16695.69
97,2024-05-17,16685.97,16708.49,16726.41,16613.84
98,2024-05-16,16698.32,16738.11,16797.83,16693.45
99,2024-05-15,16742.39,16601.14,16749.74,16544.09
100,2024-05-14,16511.18,16391.16,16526.27,16386.43
101,2024-05-13,16388.24,16400.31,16407.05,16334.86
102,2024-05-10,16340.87,16389.02,16437.39,16293.52
103,2024-05-09,16346.26,16323.74,16362.79,16241.98
104,2024-05-08,16302.76,16226.07,16341.65,16226.07
105,2024-05-07,16332.56,16358.34,16397.39,16303.84
106,2024-05-06,16349.25,16208.54,16350.08,16197.86
107,2024-05-03,16156.33,16147.48,16204.71,16068.34
108,2024-05-02,15840.96,15758.11,15862.79,15604.73
109,2024-05-01,15605.48,15646.09,15926.22,15557.64
110,2024-04-30,15657.82,15920.89,15979.36,15655.67
111,2024-04-29,15983.08,16007.0,16021.49,15885.89
112,2024-04-26,15927.9,15821.34,15981.0,15770.72
113,2024-04-25,15611.76,15375.26,15644.51,15343.91
114,2024-04-24,15712.75,15805.6,15839.0,15634.44
115,2024-04-23,15696.64,15525.55,15730.35,15510.58
116,2024-04-22,15451.31,15396.13,15539.0,15265.66
117,2024-04-19,15282.01,15547.1,15576.7,15222.78
118,2024-04-18,15601.5,15705.69,15786.12,15587.5
119,2024-04-17,15683.37,15942.29,15957.03,15654.51
120,2024-04-16,15865.25,15856.38,15965.79,15822.02
121,2024-04-15,15885.02,16276.47,16295.27,15863.88
122,2024-04-12,16175.09,16293.03,16341.45,16125.33
123,2024-04-11,16442.2,16236.2,16464.6,16154.65
124,2024-04-10,16170.36,16104.01,16200.1,16092.02
125,2024-04-09,16306.64,16328.76,16348.18,16141.15
126,2024-04-08,16253.96,16285.18,16323.6,16220.72
127,2024-04-05,16248.52,16095.4,16326.5,16080.48
128,2024-04-04,16049.08,16418.57,16468.04,16046.56
129,2024-04-03,16277.46,16178.8,16340.74,16169.31
130,2024-04-02,16240.45,16199.24,16251.41,16137.24
131,2024-04-01,16396.83,16397.05,16490.65,16327.89
132,2024-03-28,16379.46,16377.23,16420.92,16347.38
133,2024-03-27,16399.52,16424.76,16431.82,16279.17
134,2024-03-26,16315.7,16446.85,16476.38,16312.95
135,2024-03-25,16384.47,16335.3,16441.17,16315.72
136,2024-03-22,16428.82,16387.83,16467.62,16361.0
137,2024-03-21,16401.84,16517.24,16538.86,16393.9
138,2024-03-20,16369.41,16185.76,16377.44,16127.48
139,2024-03-19,16166.79,16031.93,16175.59,15951.86
140,2024-03-18,16103.45,16154.92,16247.59,16094.17
141,2024-03-15,15973.17,16043.58,16055.33,15925.91
142,2024-03-14,16128.53,16209.19,16245.32,16039.68
143,2024-03-13,16177.77,16220.11,16233.3,16143.34
144,2024-03-12,16265.64,16116.98,16275.45,15992.98
145,2024-03-11,16019.27,16052.63,16085.95,15978.04
